Game,Player ID,Prop Type,Option,Odds,Implied Probability,Game ID
PIT @ MIA,688363,runs,under,-500,0.8333,20250327_PIT@MIA
PIT @ MIA,663743,runs,under,-450,0.8182,20250327_PIT@MIA
PIT @ MIA,656537,runs,under,-450,0.8182,20250327_PIT@MIA
PIT @ MIA,665052,runs,under,-450,0.8182,20250327_PIT@MIA
ATL @ SD,,runs,under,-400,0.8,20250327_ATL@SD
CLE @ KC,677951,hits,one,-400,0.8,20250327_CLE@KC
PIT @ MIA,670223,runs,under,-400,0.8,20250327_PIT@MIA
DET @ LAD,668952,runs,under,-375,0.7895,20250327_DET@LAD
PHI @ WAS,657557,runs,under,-375,0.7895,20250327_PHI@WAS
PHI @ WAS,696285,runs,under,-375,0.7895,20250327_PHI@WAS
SF @ CIN,624431,runs,under,-375,0.7895,20250327_SF@CIN
ATL @ SD,630105,runs,under,-350,0.7778,20250327_ATL@SD
ATL @ SD,553869,runs,under,-350,0.7778,20250327_ATL@SD
DET @ LAD,668670,runs,under,-350,0.7778,20250327_DET@LAD
PIT @ MIA,669065,runs,under,-350,0.7778,20250327_PIT@MIA
CHC @ ARI,606466,hits,one,-330,0.7674,20250327_CHC@ARI
ATL @ SD,493329,runs,under,-325,0.7647,20250327_ATL@SD
DET @ LAD,690993,runs,under,-325,0.7647,20250327_DET@LAD
LAA @ CHW,676070,runs,under,-325,0.7647,20250327_LAA@CHW
MIL @ NYY,669003,runs,under,-325,0.7647,20250327_MIL@NYY
MIL @ NYY,681962,runs,under,-325,0.7647,20250327_MIL@NYY
PIT @ MIA,681146,runs,under,-325,0.7647,20250327_PIT@MIA
BAL @ TOR,665489,hits,one,-310,0.7561,20250327_BAL@TOR
CLE @ KC,680757,hits,one,-310,0.7561,20250327_CLE@KC
ATL @ SD,663604,runs,under,-300,0.75,20250327_ATL@SD
ATL @ SD,606115,runs,under,-300,0.75,20250327_ATL@SD
BOS @ TEX,669701,runs,under,-300,0.75,20250327_BOS@TEX
BOS @ TEX,646240,hits,one,-300,0.75,20250327_BOS@TEX
DET @ LAD,681624,runs,under,-300,0.75,20250327_DET@LAD
LAA @ CHW,686676,runs,under,-300,0.75,20250327_LAA@CHW
MIL @ NYY,700250,runs,under,-300,0.75,20250327_MIL@NYY
MIL @ NYY,686217,runs,under,-300,0.75,20250327_MIL@NYY
PHI @ WAS,686611,runs,under,-300,0.75,20250327_PHI@WAS
PIT @ MIA,672640,runs,under,-300,0.75,20250327_PIT@MIA
ATL @ SD,672284,runs,under,-295,0.7468,20250327_ATL@SD
DET @ LAD,595879,runs,under,-295,0.7468,20250327_DET@LAD
LAA @ CHW,572191,runs,under,-295,0.7468,20250327_LAA@CHW
NYM @ HOU,620443,runs,under,-295,0.7468,20250327_NYM@HOU
PHI @ WAS,660688,runs,under,-295,0.7468,20250327_PHI@WAS
PHI @ WAS,663993,runs,under,-295,0.7468,20250327_PHI@WAS
SF @ CIN,527038,runs,under,-295,0.7468,20250327_SF@CIN
BAL @ TOR,666182,hits,one,-290,0.7436,20250327_BAL@TOR
BOS @ TEX,680776,hits,one,-290,0.7436,20250327_BOS@TEX
CHC @ ARI,666971,hits,one,-290,0.7436,20250327_CHC@ARI
MIL @ NYY,687401,runs,under,-285,0.7403,20250327_MIL@NYY
MIN @ STL,691023,runs,under,-285,0.7403,20250327_MIN@STL
MIN @ STL,664056,runs,under,-285,0.7403,20250327_MIN@STL
ATL @ SD,701538,runs,under,-275,0.7333,20250327_ATL@SD
DET @ LAD,571970,runs,under,-275,0.7333,20250327_DET@LAD
DET @ LAD,628451,runs,under,-275,0.7333,20250327_DET@LAD
